History_ID,Ticket_ID,Status,Updated_Date,Updated_By
65,21,In Progress,2025-11-07 14:56:39,Gayathri Kumar
66,21,Resolved,2025-11-07 22:56:39,Santosh Reddy
67,22,Open,2025-11-07 13:32:42,Gayathri Kumar
68,22,In Progress,2025-11-07 21:32:42,System
69,22,Resolved,2025-11-08 08:32:42,Deepak Reddy
70,23,Open,2025-07-23 08:24:15,Yuvaraj Sharma
71,23,In Progress,2025-07-23 13:24:15,Gayathri Reddy
72,24,Open,2026-07-21 07:03:51,Yuvaraj Sundaram
73,24,In Progress,2026-07-21 12:03:51,Yuvaraj Sundaram
74,24,Resolved,2026-07-22 03:03:51,System
75,24,Closed,2026-07-22 06:03:51,System
76,25,Open,2025-05-29 00:19:30,Rahul Sundaram
77,25,In Progress,2025-05-29 05:19:30,Gayathri Iyer
78,25,Resolved,2025-05-29 09:19:30,Nandhini Sharma
79,26,Open,2026-06-18 19:56:42,Nandhini Sharma
80,26,In Progress,2026-06-18 23:56:42,Gayathri Reddy
81,26,Resolved,2026-06-19 07:56:42,Gayathri Iyer
82,26,Closed,2026-06-20 03:56:42,Deepak Iyer
83,27,Open,2025-02-24 11:24:22,Deepak Reddy
84,27,In Progress,2025-02-25 03:24:22,System
85,27,Resolved,2025-02-25 20:24:22,Sneha Pillai
86,27,Closed,2025-02-26 01:24:22,Nandhini Sharma
87,28,Open,2026-07-14 15:11:30,System
88,28,In Progress,2026-07-15 11:11:30,Gayathri Kumar
89,28,Resolved,2026-07-15 19:11:30,Gayathri Iyer
90,28,Closed,2026-07-16 01:11:30,Preethi Reddy
91,29,Open,2026-06-27 05:54:24,Gayathri Kumar
92,29,In Progress,2026-06-27 08:54:24,System
93,29,Resolved,2026-06-27 21:54:24,Yuvaraj Sundaram
94,30,Open,2026-06-11 04:07:17,Santosh Reddy
95,30,In Progress,2026-06-11 16:07:17,Preethi Reddy
96,30,Resolved,2026-06-11 17:07:17,Gayathri Kumar
97,30,Closed,2026-06-11 20:07:17,Gayathri Kumar
98,31,Open,2025-01-01 15:34:02,Deepak Reddy
99,31,In Progress,2025-01-02 10:34:02,Preethi Sundaram
100,31,Resolved,2025-01-02 15:34:02,Gayathri Reddy
101,32,Open,2025-12-28 16:00:29,Preethi Sundaram
102,32,In Progress,2025-12-28 22:00:29,Deepak Iyer
103,32,Resolved,2025-12-29 14:00:29,Kiran Sundaram
104,33,Open,2026-05-27 22:52:05,Preethi Reddy
105,34,Open,2026-08-08 01:13:47,Gayathri Reddy
106,34,In Progress,2026-08-08 11:13:47,Rahul Sundaram
107,35,Open,2025-07-10 06:11:44,Rahul Sundaram
108,35,In Progress,2025-07-10 08:11:44,Preethi Sundaram
109,35,Resolved,2025-07-10 18:11:44,Santosh Reddy
110,35,Reopened,2025-07-11 12:11:44,Yuvaraj Sundaram
111,36,Open,2025-06-01 09:32:07,Gayathri Reddy
112,36,In Progress,2025-06-01 16:32:07,Nandhini Sharma
113,36,Resolved,2025-06-02 04:32:07,Gayathri Reddy
114,36,Closed,2025-06-02 15:32:07,Preethi Reddy
115,37,Open,2026-08-07 10:59:32,Gayathri Kumar
116,37,In Progress,2026-08-08 00:59:32,Santosh Reddy
117,37,Resolved,2026-08-08 15:59:32,Santosh Reddy
118,37,Closed,2026-08-09 02:59:32,Kiran Sundaram
119,38,Open,2025-12-28 11:50:15,Yuvaraj Sundaram
120,39,Open,2026-06-04 00:33:03,Preethi Reddy
121,39,In Progress,2026-06-04 03:33:03,Gayathri Iyer
122,39,Resolved,2026-06-04 06:33:03,Gayathri Iyer
123,40,Open,2026-04-22 16:40:01,Kiran Sundaram
124,40,In Progress,2026-04-23 10:40:01,Nandhini Sharma
125,40,Resolved,2026-04-23 21:40:01,Deepak Reddy
126,40,Closed,2026-04-24 00:40:01,Preethi Sundaram
127,41,Open,2025-12-13 18:25:55,Nandhini Sharma
128,41,In Progress,2025-12-14 09:25:55,Gayathri Iyer
129,41,Resolved,2025-12-14 15:25:55,Deepak Iyer
130,41,Closed,2025-12-15 03:25:55,Deepak Iyer
131,42,Open,2026-05-11 08:52:14,Gayathri Kumar
132,42,In Progress,2026-05-12 04:52:14,Gayathri Iyer
133,42,Resolved,2026-05-12 13:52:14,Gayathri Reddy
134,43,Open,2025-12-08 18:49:10,Santosh Reddy
135,44,Open,2025-03-05 02:04:35,Kiran Sundaram
136,44,In Progress,2025-03-05 03:04:35,Yuvaraj Sharma
137,45,Open,2025-02-20 17:18:45,Deepak Iyer
138,45,In Progress,2025-02-20 19:18:45,Yuvaraj Sharma
139,45,Resolved,2025-02-20 22:18:45,Sneha Pillai
140,46,Open,2025-11-23 20:02:34,Gayathri Kumar
141,46,In Progress,2025-11-24 09:02:34,Gayathri Reddy
142,46,Resolved,2025-11-25 05:02:34,Yuvaraj Sharma
143,47,Open,2025-10-24 01:48:58,Gayathri Kumar
144,47,In Progress,2025-10-24 13:48:58,Deepak Iyer
145,47,Resolved,2025-10-24 16:48:58,Yuvaraj Sharma
146,48,Open,2026-02-23 18:09:30,Gayathri Kumar
147,48,In Progress,2026-02-24 07:09:30,Preethi Sundaram
148,48,Resolved,2026-02-24 16:09:30,Sneha Pillai
149,48,Closed,2026-02-24 20:09:30,System
150,49,Open,2025-06-20 16:18:56,Yuvaraj Sundaram
151,49,In Progress,2025-06-21 09:18:56,Santosh Reddy
152,49,Resolved,2025-06-22 03:18:56,Deepak Reddy
153,50,Open,2026-07-17 20:43:09,Preethi Reddy
154,50,In Progress,2026-07-18 11:43:09,Rahul Sundaram
155,51,Open,2025-01-22 18:41:27,Nandhini Sharma
156,51,In Progress,2025-01-23 10:41:27,Rahul Sundaram
157,51,Resolved,2025-01-23 14:41:27,Yuvaraj Sharma
158,51,Closed,2025-01-23 17:41:27,Deepak Iyer
159,52,Open,2025-04-16 15:37:18,Deepak Iyer
160,52,In Progress,2025-04-16 18:37:18,Preethi Sundaram
161,52,Resolved,2025-04-17 06:37:18,Preethi Reddy
162,52,Closed,2025-04-18 00:37:18,Nandhini Sharma
163,53,Open,2025-12-20 14:12:35,Kiran Sundaram
164,53,In Progress,2025-12-20 20:12:35,Gayathri Kumar
165,53,Resolved,2025-12-21 13:12:35,Sneha Pillai
166,54,Open,2025-07-16 02:40:55,Rahul Sundaram
167,54,In Progress,2025-07-16 07:40:55,Sneha Pillai
168,54,Resolved,2025-07-16 23:40:55,System
169,54,Closed,2025-07-17 11:40:55,Gayathri Kumar
170,55,Open,2025-06-24 18:48:14,Yuvaraj Sharma
171,55,In Progress,2025-06-25 14:48:14,Preethi Reddy
172,55,Resolved,2025-06-25 17:48:14,Nandhini Sharma
173,56,Open,2025-06-05 09:21:08,Yuvaraj Sundaram
174,56,In Progress,2025-06-06 02:21:08,Gayathri Iyer
175,56,Resolved,2025-06-06 16:21:08,Preethi Reddy
176,56,Closed,2025-06-06 21:21:08,Preethi Sundaram
177,57,Open,2026-03-15 04:09:17,Deepak Iyer
178,57,In Progress,2026-03-15 19:09:17,Gayathri Kumar
179,57,Resolved,2026-03-16 00:09:17,Kiran Sundaram
180,57,Closed,2026-03-16 05:09:17,Gayathri Iyer
181,58,Open,2026-04-17 07:39:30,Gayathri Reddy
182,58,In Progress,2026-04-17 11:39:30,Yuvaraj Sharma
183,58,Resolved,2026-04-17 21:39:30,Kiran Sundaram
184,59,Open,2025-08-30 20:11:08,Preethi Sundaram
185,59,In Progress,2025-08-31 04:11:08,Gayathri Kumar
186,60,Open,2025-11-05 19:10:28,Nandhini Sharma
187,60,In Progress,2025-11-05 22:10:28,Preethi Reddy
188,60,Resolved,2025-11-06 05:10:28,Preethi Reddy
189,60,Closed,2025-11-06 10:10:28,Nandhini Sharma
190,61,Open,2025-03-21 23:34:40,Preethi Reddy
191,61,In Progress,2025-03-22 16:34:40,Kiran Sundaram
192,61,Resolved,2025-03-23 11:34:40,Yuvaraj Sharma
193,62,Open,2026-03-16 19:44:50,Preethi Sundaram
194,62,In Progress,2026-03-17 14:44:50,Gayathri Reddy
195,62,Resolved,2026-03-17 15:44:50,Preethi Reddy
196,62,Closed,2026-03-17 17:44:50,Preethi Reddy
197,63,Open,2026-01-29 06:47:33,Gayathri Iyer
198,63,In Progress,2026-01-30 02:47:33,System
199,63,Resolved,2026-01-30 18:47:33,Nandhini Sharma
200,64,Open,2025-12-04 03:27:42,Yuvaraj Sundaram
201,64,In Progress,2025-12-04 11:27:42,Santosh Reddy
202,64,Resolved,2025-12-04 21:27:42,Deepak Iyer
203,64,Reopened,2025-12-05 00:27:42,Gayathri Reddy
204,65,Open,2025-05-18 01:25:51,Deepak Iyer
205,65,In Progress,2025-05-18 15:25:51,Yuvaraj Sundaram
206,65,Resolved,2025-05-19 06:25:51,Rahul Sundaram
207,65,Closed,2025-05-19 17:25:51,Yuvaraj Sharma
208,66,Open,2026-08-26 03:21:47,Preethi Sundaram
209,66,In Progress,2026-08-26 15:21:47,Santosh Reddy
210,66,Resolved,2026-08-26 20:21:47,Gayathri Kumar
211,67,Open,2025-07-11 09:21:41,Deepak Reddy
212,67,In Progress,2025-07-11 20:21:41,Sneha Pillai
213,67,Resolved,2025-07-12 11:21:41,Deepak Reddy
214,67,Closed,2025-07-12 20:21:41,Deepak Iyer
215,68,Open,2026-03-19 22:46:02,Yuvaraj Sharma
216,68,In Progress,2026-03-20 02:46:02,Gayathri Reddy
217,68,Resolved,2026-03-20 12:46:02,Santosh Reddy
218,69,Open,2025-05-23 01:44:26,Gayathri Iyer
219,69,In Progress,2025-05-23 09:44:26,Kiran Sundaram
220,69,Resolved,2025-05-23 20:44:26,Preethi Sundaram
221,70,Open,2026-06-29 22:00:44,Kiran Sundaram
222,70,In Progress,2026-06-30 14:00:44,Deepak Iyer
223,70,Resolved,2026-07-01 06:00:44,Nandhini Sharma
224,70,Closed,2026-07-01 22:00:44,System
225,71,Open,2025-07-07 14:12:10,Santosh Reddy
226,71,In Progress,2025-07-08 07:12:10,Deepak Iyer
227,71,Resolved,2025-07-08 15:12:10,Rahul Sundaram
228,71,Closed,2025-07-09 10:12:10,Gayathri Kumar
229,72,Open,2025-12-15 04:34:44,Gayathri Reddy
230,72,In Progress,2025-12-15 14:34:44,Yuvaraj Sundaram
231,72,Resolved,2025-12-16 10:34:44,Yuvaraj Sundaram
232,72,Closed,2025-12-16 20:34:44,System
233,73,Open,2025-08-27 00:05:38,Gayathri Iyer
234,73,In Progress,2025-08-27 05:05:38,Preethi Reddy
235,73,Resolved,2025-08-27 17:05:38,Santosh Reddy
236,74,Open,2026-08-03 21:14:39,Gayathri Reddy
237,74,In Progress,2026-08-04 10:14:39,Gayathri Reddy
238,74,Resolved,2026-08-05 05:14:39,Rahul Sundaram
239,75,Open,2025-06-29 13:32:26,Nandhini Sharma
240,75,In Progress,2025-06-29 16:32:26,Santosh Reddy
241,76,Open,2025-05-30 11:34:57,Deepak Iyer
242,76,In Progress,2025-05-31 05:34:57,Preethi Reddy
243,77,Open,2026-04-10 08:59:08,Deepak Reddy
244,77,In Progress,2026-04-10 13:59:08,Deepak Reddy
245,77,Resolved,2026-04-11 02:59:08,Gayathri Kumar
246,78,Open,2025-05-20 20:01:58,Gayathri Kumar
247,78,In Progress,2025-05-21 01:01:58,Rahul Sundaram
248,78,Resolved,2025-05-21 21:01:58,Santosh Reddy
249,79,Open,2026-03-07 12:21:31,Gayathri Reddy
250,79,In Progress,2026-03-07 14:21:31,Gayathri Reddy
251,79,Resolved,2026-03-07 19:21:31,Preethi Sundaram
252,80,Open,2026-03-23 13:19:57,Deepak Iyer
253,80,In Progress,2026-03-23 18:19:57,Yuvaraj Sharma
254,80,Resolved,2026-03-24 05:19:57,Preethi Sundaram
255,81,Open,2025-07-16 08:32:17,Santosh Reddy
256,81,In Progress,2025-07-17 04:32:17,Nandhini Sharma
257,81,Resolved,2025-07-17 23:32:17,Preethi Sundaram
258,81,Closed,2025-07-18 16:32:17,Yuvaraj Sundaram
259,82,Open,2026-03-25 23:27:14,Nandhini Sharma
260,82,In Progress,2026-03-26 15:27:14,System
261,82,Resolved,2026-03-27 03:27:14,Preethi Sundaram
262,83,Open,2025-03-08 07:53:13,Gayathri Iyer
263,83,In Progress,2025-03-09 02:53:13,Nandhini Sharma
264,83,Resolved,2025-03-09 03:53:13,Yuvaraj Sundaram
265,83,Reopened,2025-03-09 12:53:13,Sneha Pillai
266,84,Open,2025-06-25 09:06:47,Yuvaraj Sundaram
267,84,In Progress,2025-06-25 15:06:47,Santosh Reddy
268,84,Resolved,2025-06-25 20:06:47,Sneha Pillai
269,84,Closed,2025-06-25 22:06:47,Deepak Reddy
270,85,Open,2025-11-30 08:58:03,System
271,85,In Progress,2025-11-30 23:58:03,Preethi Sundaram
272,85,Resolved,2025-12-01 13:58:03,Yuvaraj Sharma
273,86,Open,2026-08-17 00:27:00,Rahul Sundaram
274,86,In Progress,2026-08-17 14:27:00,Yuvaraj Sundaram
275,87,Open,2025-05-16 02:07:09,Yuvaraj Sharma
276,87,In Progress,2025-05-16 19:07:09,Rahul Sundaram
277,87,Resolved,2025-05-17 13:07:09,Preethi Sundaram
278,88,Open,2026-01-01 15:48:12,Santosh Reddy
279,88,In Progress,2026-01-02 02:48:12,Kiran Sundaram
280,88,Resolved,2026-01-02 17:48:12,Preethi Sundaram
281,89,Open,2025-02-26 00:53:12,Gayathri Kumar
282,89,In Progress,2025-02-26 09:53:12,Yuvaraj Sundaram
283,89,Resolved,2025-02-26 16:53:12,Sneha Pillai
284,90,Open,2025-11-27 14:09:53,Nandhini Sharma
285,90,In Progress,2025-11-27 22:09:53,Nandhini Sharma
286,91,Open,2025-02-25 21:10:33,Rahul Sundaram
287,92,Open,2025-08-13 20:05:28,Preethi Sundaram
288,92,In Progress,2025-08-14 12:05:28,Gayathri Kumar
289,92,Resolved,2025-08-15 06:05:28,Preethi Reddy
290,93,Open,2026-01-25 03:28:39,Deepak Reddy
291,93,In Progress,2026-01-25 22:28:39,Santosh Reddy
292,93,Resolved,2026-01-26 11:28:39,Gayathri Kumar
293,94,Open,2026-07-25 17:42:17,Nandhini Sharma
294,94,In Progress,2026-07-25 19:42:17,Nandhini Sharma
295,94,Resolved,2026-07-25 22:42:17,Gayathri Kumar
296,95,Open,2026-04-02 15:45:52,Preethi Reddy
297,95,In Progress,2026-04-03 07:45:52,Rahul Sundaram
298,95,Resolved,2026-04-03 14:45:52,Preethi Reddy
299,95,Reopened,2026-04-04 08:45:52,Preethi Reddy
300,96,Open,2026-01-01 15:46:15,Deepak Reddy
301,96,In Progress,2026-01-02 11:46:15,Sneha Pillai
302,96,Resolved,2026-01-02 19:46:15,Gayathri Reddy
303,97,Open,2025-12-06 06:29:06,Sneha Pillai
304,97,In Progress,2025-12-06 14:29:06,Gayathri Reddy
305,97,Resolved,2025-12-06 18:29:06,Gayathri Iyer
306,98,Open,2025-09-07 19:57:34,Yuvaraj Sundaram
307,98,In Progress,2025-09-07 23:57:34,Yuvaraj Sharma
308,98,Resolved,2025-09-08 00:57:34,Kiran Sundaram
309,99,Open,2025-08-13 10:46:08,Yuvaraj Sundaram
310,99,In Progress,2025-08-14 02:46:08,Rahul Sundaram
311,99,Resolved,2025-08-14 12:46:08,Preethi Sundaram
312,100,Open,2025-09-02 17:01:29,Gayathri Reddy
313,100,In Progress,2025-09-02 20:01:29,Sneha Pillai
314,100,Resolved,2025-09-03 14:01:29,Gayathri Reddy
315,101,Open,2026-05-27 01:40:41,Gayathri Iyer
316,101,In Progress,2026-05-27 07:40:41,Gayathri Reddy
317,101,Resolved,2026-05-27 20:40:41,Yuvaraj Sundaram
318,101,Closed,2026-05-28 02:40:41,Nandhini Sharma
319,102,Open,2026-04-29 16:44:11,System
320,102,In Progress,2026-04-30 02:44:11,Deepak Reddy
321,102,Resolved,2026-04-30 13:44:11,Nandhini Sharma
322,102,Closed,2026-05-01 04:44:11,Yuvaraj Sundaram
323,103,Open,2025-04-12 23:15:48,Deepak Iyer
324,103,In Progress,2025-04-13 08:15:48,Rahul Sundaram
325,103,Resolved,2025-04-13 12:15:48,Preethi Sundaram
326,103,Closed,2025-04-13 18:15:48,Deepak Iyer
327,104,Open,2026-05-05 17:27:59,Kiran Sundaram
328,104,In Progress,2026-05-05 18:27:59,Preethi Sundaram
329,104,Resolved,2026-05-06 04:27:59,Rahul Sundaram
330,105,Open,2026-03-06 04:42:44,Santosh Reddy
331,105,In Progress,2026-03-06 18:42:44,Preethi Sundaram
332,105,Resolved,2026-03-06 21:42:44,Santosh Reddy
333,106,Open,2026-05-19 06:11:01,Kiran Sundaram
334,106,In Progress,2026-05-19 11:11:01,Yuvaraj Sundaram
335,106,Resolved,2026-05-19 22:11:01,Sneha Pillai
336,106,Closed,2026-05-19 23:11:01,Preethi Reddy
337,107,Open,2025-11-20 06:18:04,Sneha Pillai
338,107,In Progress,2025-11-20 21:18:04,Preethi Reddy
339,107,Resolved,2025-11-21 08:18:04,Nandhini Sharma
340,107,Closed,2025-11-22 03:18:04,System
341,108,Open,2025-05-29 10:14:05,Gayathri Kumar
342,108,In Progress,2025-05-29 18:14:05,Gayathri Reddy
343,108,Resolved,2025-05-29 22:14:05,Deepak Iyer
344,108,Closed,2025-05-30 08:14:05,Kiran Sundaram
345,109,Open,2026-08-24 16:42:30,Nandhini Sharma
346,109,In Progress,2026-08-24 20:42:30,Nandhini Sharma
347,109,Resolved,2026-08-25 08:42:30,Sneha Pillai
348,109,Closed,2026-08-25 16:42:30,Yuvaraj Sharma
349,110,Open,2025-08-09 08:30:02,Yuvaraj Sharma
350,110,In Progress,2025-08-09 23:30:02,Gayathri Kumar
351,110,Resolved,2025-08-10 13:30:02,Yuvaraj Sundaram
352,110,Closed,2025-08-11 07:30:02,Rahul Sundaram
353,111,Open,2025-04-26 18:01:09,Preethi Reddy
354,111,In Progress,2025-04-27 11:01:09,Deepak Iyer
355,111,Resolved,2025-04-28 04:01:09,Gayathri Kumar
356,112,Open,2025-10-21 02:42:18,Deepak Reddy
357,112,In Progress,2025-10-21 04:42:18,Rahul Sundaram
358,112,Resolved,2025-10-21 23:42:18,Yuvaraj Sharma
359,113,Open,2026-03-21 09:04:50,Preethi Sundaram
360,113,In Progress,2026-03-22 02:04:50,Deepak Iyer
361,113,Resolved,2026-03-22 06:04:50,Rahul Sundaram
362,114,Open,2026-07-03 13:24:01,Yuvaraj Sundaram
363,114,In Progress,2026-07-03 16:24:01,Deepak Iyer
364,114,Resolved,2026-07-03 18:24:01,Deepak Iyer
365,114,Closed,2026-07-03 23:24:01,Gayathri Iyer
366,115,Open,2026-01-21 08:35:42,Gayathri Reddy
367,115,In Progress,2026-01-22 02:35:42,Deepak Iyer
368,115,Resolved,2026-01-22 12:35:42,System
369,115,Reopened,2026-01-23 01:35:42,Preethi Reddy
370,116,Open,2025-12-09 00:54:09,Rahul Sundaram
371,117,Open,2026-05-25 09:00:30,Preethi Reddy
372,117,In Progress,2026-05-25 11:00:30,Gayathri Iyer
373,117,Resolved,2026-05-25 23:00:30,Preethi Reddy
374,117,Reopened,2026-05-26 17:00:30,Gayathri Reddy
375,118,Open,2026-05-20 20:49:59,Yuvaraj Sundaram
376,119,Open,2025-09-04 00:59:30,Nandhini Sharma
377,119,In Progress,2025-09-04 14:59:30,Kiran Sundaram
378,119,Resolved,2025-09-04 19:59:30,Gayathri Iyer
379,120,Open,2026-04-26 02:16:43,Santosh Reddy
380,121,Open,2025-12-04 16:48:52,Santosh Reddy
381,121,In Progress,2025-12-05 05:48:52,Preethi Reddy
382,121,Resolved,2025-12-05 23:48:52,Yuvaraj Sharma
383,121,Reopened,2025-12-06 11:48:52,Deepak Reddy
384,122,Open,2025-05-10 11:15:51,Santosh Reddy
385,122,In Progress,2025-05-11 04:15:51,Yuvaraj Sharma
386,122,Resolved,2025-05-11 12:15:51,System
387,123,Open,2025-08-16 21:46:18,Nandhini Sharma
388,123,In Progress,2025-08-17 12:46:18,Gayathri Iyer
389,123,Resolved,2025-08-18 06:46:18,Santosh Reddy
390,124,Open,2026-06-14 21:40:48,Sneha Pillai
391,124,In Progress,2026-06-15 12:40:48,Gayathri Kumar
392,124,Resolved,2026-06-15 17:40:48,Preethi Reddy
393,124,Closed,2026-06-16 00:40:48,Deepak Reddy
394,125,Open,2026-04-27 10:14:18,Gayathri Iyer
395,125,In Progress,2026-04-28 06:14:18,System
396,125,Resolved,2026-04-28 14:14:18,Rahul Sundaram
397,126,Open,2026-05-11 14:24:15,Deepak Reddy
398,126,In Progress,2026-05-12 10:24:15,Gayathri Reddy
399,126,Resolved,2026-05-13 01:24:15,Gayathri Reddy
400,127,Open,2025-08-12 17:50:34,Gayathri Reddy
401,127,In Progress,2025-08-13 06:50:34,Deepak Iyer
402,127,Resolved,2025-08-13 14:50:34,Rahul Sundaram
403,128,Open,2025-08-21 10:38:21,Yuvaraj Sharma
404,128,In Progress,2025-08-22 03:38:21,Nandhini Sharma
405,128,Resolved,2025-08-22 11:38:21,Preethi Sundaram
406,129,Open,2025-06-05 12:40:26,Preethi Sundaram
407,129,In Progress,2025-06-05 20:40:26,Nandhini Sharma
408,129,Resolved,2025-06-06 01:40:26,Sneha Pillai
409,129,Reopened,2025-06-06 15:40:26,Nandhini Sharma
410,130,Open,2025-10-07 04:29:01,Gayathri Reddy
411,130,In Progress,2025-10-07 22:29:01,Kiran Sundaram
412,130,Resolved,2025-10-08 12:29:01,Yuvaraj Sundaram
413,131,Open,2025-08-02 06:41:06,Gayathri Kumar
414,132,Open,2026-08-03 08:00:56,Preethi Sundaram
415,132,In Progress,2026-08-03 22:00:56,Gayathri Iyer
416,132,Resolved,2026-08-04 03:00:56,Nandhini Sharma
417,133,Open,2026-04-18 01:30:42,Kiran Sundaram
418,133,In Progress,2026-04-18 19:30:42,Yuvaraj Sundaram
419,133,Resolved,2026-04-19 03:30:42,Sneha Pillai
420,133,Closed,2026-04-19 13:30:42,Yuvaraj Sharma
421,134,Open,2026-05-04 14:23:36,Gayathri Reddy
422,135,Open,2025-01-27 15:57:35,Gayathri Iyer
423,135,In Progress,2025-01-28 05:57:35,Yuvaraj Sharma
424,135,Resolved,2025-01-28 18:57:35,Sneha Pillai
425,136,Open,2026-08-04 23:03:11,Rahul Sundaram
426,136,In Progress,2026-08-05 10:03:11,Preethi Reddy
427,136,Resolved,2026-08-06 01:03:11,Gayathri Kumar
428,137,Open,2026-02-17 10:48:19,Rahul Sundaram
429,137,In Progress,2026-02-17 12:48:19,Preethi Reddy
430,137,Resolved,2026-02-18 01:48:19,Gayathri Reddy
431,138,Open,2025-08-18 08:50:07,Rahul Sundaram
432,138,In Progress,2025-08-19 03:50:07,Rahul Sundaram
433,138,Resolved,2025-08-19 19:50:07,Rahul Sundaram
434,138,Closed,2025-08-20 06:50:07,Nandhini Sharma
435,139,Open,2025-04-20 08:54:03,Rahul Sundaram
436,139,In Progress,2025-04-20 15:54:03,Deepak Reddy
437,139,Resolved,2025-04-21 07:54:03,Sneha Pillai
438,139,Closed,2025-04-22 03:54:03,Rahul Sundaram
439,140,Open,2026-03-10 10:03:36,Sneha Pillai
440,140,In Progress,2026-03-11 04:03:36,Preethi Sundaram
441,140,Resolved,2026-03-11 14:03:36,Santosh Reddy
442,141,Open,2025-12-20 20:49:33,Gayathri Kumar
443,141,In Progress,2025-12-21 06:49:33,Preethi Reddy
444,141,Resolved,2025-12-21 18:49:33,Yuvaraj Sundaram
445,142,Open,2025-03-26 18:43:03,Deepak Reddy
446,142,In Progress,2025-03-27 10:43:03,Preethi Sundaram
447,142,Resolved,2025-03-27 17:43:03,Gayathri Kumar
448,143,Open,2025-09-13 05:28:48,Gayathri Iyer
449,143,In Progress,2025-09-13 07:28:48,Sneha Pillai
450,143,Resolved,2025-09-13 12:28:48,System
